productId,productName,price,Category,Member_number,Date,items,Total_Revenue,month,weekday
1,tropical fruit,7.8,Fresh Food,1808,2015-07-21,3,23.4,7,Tuesday
1,tropical fruit,7.8,Fresh Food,4119,2015-02-12,3,23.4,2,Thursday
1,tropical fruit,7.8,Fresh Food,3962,2015-09-18,2,15.6,9,Friday
1,tropical fruit,7.8,Fresh Food,1088,2015-11-30,2,15.6,11,Monday
1,tropical fruit,7.8,Fresh Food,1863,2015-08-04,1,7.8,8,Tuesday
1,tropical fruit,7.8,Fresh Food,4829,2015-11-03,2,15.6,11,Tuesday
1,tropical fruit,7.8,Fresh Food,4581,2015-04-03,1,7.8,4,Friday
1,tropical fruit,7.8,Fresh Food,3635,2015-09-04,1,7.8,9,Friday
1,tropical fruit,7.8,Fresh Food,1279,2015-09-06,3,23.4,9,Sunday
1,tropical fruit,7.8,Fresh Food,3361,2015-03-05,1,7.8,3,Thursday
1,tropical fruit,7.8,Fresh Food,3567,2015-10-04,3,23.4,10,Sunday
1,tropical fruit,7.8,Fresh Food,4509,2015-11-29,3,23.4,11,Sunday
1,tropical fruit,7.8,Fresh Food,2818,2015-11-07,3,23.4,11,Saturday
1,tropical fruit,7.8,Fresh Food,1033,2015-04-22,2,15.6,4,Wednesday
1,tropical fruit,7.8,Fresh Food,4222,2015-05-27,1,7.8,5,Wednesday
1,tropical fruit,7.8,Fresh Food,1952,2015-03-23,1,7.8,3,Monday
1,tropical fruit,7.8,Fresh Food,1649,2015-06-25,2,15.6,6,Thursday
1,tropical fruit,7.8,Fresh Food,4459,2015-04-26,3,23.4,4,Sunday
1,tropical fruit,7.8,Fresh Food,3855,2015-03-09,1,7.8,3,Monday
1,tropical fruit,7.8,Fresh Food,4554,2015-07-16,1,7.8,7,Thursday
1,tropical fruit,7.8,Fresh Food,2702,2015-04-08,2,15.6,4,Wednesday
1,tropical fruit,7.8,Fresh Food,4002,2015-09-03,1,7.8,9,Thursday
1,tropical fruit,7.8,Fresh Food,3543,2015-03-18,3,23.4,3,Wednesday
1,tropical fruit,7.8,Fresh Food,3398,2015-03-11,3,23.4,3,Wednesday
